"game_date","time","home_team","away_team","spread","over_vig","under_vig"
2022-12-11,"00:10:00Z","Washington Wizards","Los Angeles Clippers",-4.5,1.9,1.9
2022-12-11,"00:40:00Z","Cleveland Cavaliers","Oklahoma City Thunder",-6.5,1.9,1.9
2022-12-11,"01:10:00Z","Chicago Bulls","Dallas Mavericks",-1.5,1.95,1.85
2022-12-11,"01:40:00Z","Golden State Warriors","Boston Celtics",-3,1.9,1.9
2022-12-11,"02:10:00Z","Denver Nuggets","Utah Jazz",-7,1.9,1.9
2022-12-11,"03:10:00Z","Portland Trail Blazers","Minnesota Timberwolves",5.5,1.9,1.9
2022-12-11,"20:40:00Z","New Orleans Pelicans","Phoenix Suns",-2.5,1.9,1.9
2022-12-11,"23:10:00Z","Philadelphia 76ers","Charlotte Hornets",10,1.9,1.9
2022-12-11,"23:10:00Z","Detroit Pistons","Los Angeles Lakers",5,1.9,1.9
2022-12-11,"23:10:00Z","New York Knicks","Sacramento Kings",-2.5,1.9,1.9
2022-12-11,"23:10:00Z","Orlando Magic","Toronto Raptors",6.5,1.9,1.9
2022-12-11,"23:40:00Z","Atlanta Hawks","Chicago Bulls",-2.5,1.9,1.9
2022-12-12,"00:10:00Z","Houston Rockets","Milwaukee Bucks",10,1.9,1.9
2022-12-13,"00:10:00Z","Washington Wizards","Brooklyn Nets",-5.5,1.95,1.85
2022-12-13,"00:10:00Z","Indiana Pacers","Miami Heat",2.5,1.9,1.9
2022-12-13,"01:10:00Z","Memphis Grizzlies","Atlanta Hawks",6.5,1.95,1.85
2022-12-13,"01:40:00Z","San Antonio Spurs","Cleveland Cavaliers",-7,1.9,1.9
2022-12-13,"01:40:00Z","Dallas Mavericks","Oklahoma City Thunder",-8.5,1.9,1.9
2022-12-13,"03:10:00Z","Portland Trail Blazers","Minnesota Timberwolves",4.5,1.9,1.9
2022-12-13,"03:40:00Z","Los Angeles Clippers","Boston Celtics",-3,1.9,1.9
2022-12-14,"00:10:00Z","Philadelphia 76ers","Sacramento Kings",-5.5,1.9,1.9
2022-12-14,"00:30:00Z","Milwaukee Bucks","Golden State Warriors",NA,NA,NA
2022-12-14,"01:10:00Z","Houston Rockets","Phoenix Suns",6,1.9,1.9
2022-12-14,"02:10:00Z","Utah Jazz","New Orleans Pelicans",-2.5,1.9,1.9
2022-12-14,"03:00:00Z","Los Angeles Lakers","Boston Celtics",-2.5,1.9,1.9
2022-12-15,"00:10:00Z","Orlando Magic","Atlanta Hawks",-2.5,1.9,1.9
